ufficio,tipo,grado,articolo,esito,numero,affidabilita,fonte
# ESTRAZIONE AUTOMATICA - DA VERIFICARE A MANO. Vedi scratch/ e output/dati-forniti nel repo OnData.
# articolo: 423 | 423bis_c1 | 423bis_c2 | 423bis | 449 | nd (non distinto per articolo)
# esito: condanna | assoluzione | prescrizione | patteggiamento | promiscua | ndp_altro | concordato_appello | archiviazione_noti | archiviazione_ignoti | archiviazione | nessuna_sentenza | da_consolidare
# CORTI D'APPELLO (II grado)
Corte appello Palermo,CA,II,423,assoluzione,4,alta,Esito_II_grado_Incendi.xlsx
Corte appello Palermo,CA,II,423,condanna,25,alta,Esito_II_grado_Incendi.xlsx
Corte appello Palermo,CA,II,423bis,condanna,14,alta,Esito_II_grado_Incendi.xlsx
Corte appello Palermo,CA,II,449,condanna,13,alta,Esito_II_grado_Incendi.xlsx
Corte appello Palermo,CA,II,449,prescrizione,2,alta,Esito_II_grado_Incendi.xlsx
Corte appello Salerno,CA,II,423,condanna,8,media,Dati_Accesso_civico.xlsx
Corte appello Salerno,CA,II,423,prescrizione,3,media,Dati_Accesso_civico.xlsx
Corte appello Salerno,CA,II,423bis_c1,condanna,2,media,Dati_Accesso_civico.xlsx
Corte appello Salerno,CA,II,423bis_c2,condanna,2,media,Dati_Accesso_civico.xlsx
Corte appello Salerno,CA,II,449,condanna,5,media,Dati_Accesso_civico.xlsx
Corte appello Salerno,CA,II,449,prescrizione,5,media,Dati_Accesso_civico.xlsx
Corte appello Caltanissetta,CA,II,423,condanna,13,alta,SENTENZE_INCENDIO_21_26 (md)
Corte appello Caltanissetta,CA,II,423,concordato_appello,2,alta,SENTENZE_INCENDIO_21_26 (md)
Corte appello Caltanissetta,CA,II,423bis_c1,condanna,3,alta,SENTENZE_INCENDIO_21_26 (md)
Corte appello Caltanissetta,CA,II,449,condanna,1,alta,SENTENZE_INCENDIO_21_26 (md)
Corte appello Caltanissetta,CA,II,449,assoluzione,1,alta,SENTENZE_INCENDIO_21_26 (md)
Corte appello Caltanissetta,CA,II,449,prescrizione,1,alta,SENTENZE_INCENDIO_21_26 (md)
Corte appello Genova,CA,II,423,condanna,12,media,Elenco_Esauriti_423 (xls)
Corte appello Genova,CA,II,423,prescrizione,2,media,Elenco_Esauriti_423 (xls)
Corte appello Genova,CA,II,423bis,condanna,4,media,Elenco_Esauriti_423bis (xls)
Corte appello Genova,CA,II,423bis,assoluzione,2,media,Elenco_Esauriti_423bis (xls)
Corte appello Genova,CA,II,423bis,prescrizione,1,media,Elenco_Esauriti_423bis (xls)
Corte appello Genova,CA,II,449,condanna,5,media,Elenco_Esauriti_449 (xls)
Corte appello Genova,CA,II,449,assoluzione,3,media,Elenco_Esauriti_449 (xls)
Corte appello Ancona,CA,II,nd,condanna,16,media,Borruso_invio_dati.xlsx
Corte appello Ancona,CA,II,nd,assoluzione,4,media,Borruso_invio_dati.xlsx
Corte appello Ancona,CA,II,nd,prescrizione,4,media,Borruso_invio_dati.xlsx
Corte appello Ancona,CA,II,nd,promiscua,1,media,Borruso_invio_dati.xlsx
Corte appello Campobasso,CA,II,nd,nessuna_sentenza,0,alta,dato.md
# TRIBUNALI (I grado)
Tribunale di Agrigento,Tribunale,I,423,condanna,18,alta,Dati_statistici.xlsx
Tribunale di Agrigento,Tribunale,I,423,assoluzione,5,alta,Dati_statistici.xlsx
Tribunale di Agrigento,Tribunale,I,423,patteggiamento,2,alta,Dati_statistici.xlsx
Tribunale di Agrigento,Tribunale,I,423,archiviazione,6,alta,Dati_statistici.xlsx
Tribunale di Agrigento,Tribunale,I,449,condanna,4,alta,Dati_statistici.xlsx
Tribunale di Agrigento,Tribunale,I,449,assoluzione,11,alta,Dati_statistici.xlsx
Tribunale di Agrigento,Tribunale,I,449,archiviazione,2,alta,Dati_statistici.xlsx
